order_id,delivery_partner_id,promised_time,actual_time,delivery_time_minutes,distance_km,delivery_status,reasons_if_delayed
1961864118,63230,17-07-2024 08:52,17-07-2024 08:47,-5,0.96,On Time,
1549769649,14983,28-05-2024 13:25,28-05-2024 13:27,2,0.98,On Time,Traffic
9185164487,39859,23-09-2024 13:25,23-09-2024 13:29,4,3.83,On Time,Traffic
9644738826,61497,24-11-2023 16:34,24-11-2023 16:33,-1,2.76,On Time,
5427684290,84315,20-11-2023 05:17,20-11-2023 05:18,1,2.63,On Time,Traffic
3265154092,554,18-03-2023 16:49,18-03-2023 16:48,-1,1.94,On Time,
4898355547,14630,16-04-2023 19:01,16-04-2023 19:02,1,2.2,On Time,Traffic
6568151549,67714,31-03-2024 06:37,31-03-2024 06:39,2,1.3,On Time,Traffic
6006693867,91362,14-07-2023 00:02,14-07-2023 00:05,3,3.38,On Time,Traffic
374186990,77203,09-08-2023 01:37,09-08-2023 01:44,7,1.47,Slightly Delayed,Traffic
4455336265,64046,30-08-2023 19:47,30-08-2023 19:45,-2,0.76,On Time,
3539286337,94899,25-04-2023 20:44,25-04-2023 20:39,-5,3.68,On Time,
9171116867,73907,22-10-2023 11:25,22-10-2023 11:37,12,2.23,Slightly Delayed,Traffic
5504941865,56077,28-01-2024 02:55,28-01-2024 03:06,11,4.45,Slightly Delayed,Traffic
5868326481,63230,15-03-2024 21:24,15-03-2024 21:21,-3,2.8,On Time,
2137046916,63230,03-02-2024 09:03,03-02-2024 09:01,-2,1.78,On Time,
8195544338,63230,26-04-2023 04:20,26-04-2023 04:28,8,1.16,Slightly Delayed,Traffic
2889700050,63230,30-04-2024 16:33,30-04-2024 16:36,3,3.07,On Time,Traffic
65827885,63230,27-07-2023 00:25,27-07-2023 00:20,-5,1.65,On Time,
4656471694,63230,09-12-2023 08:27,09-12-2023 08:35,8,3.7,Slightly Delayed,Traffic
6625178717,63230,01-07-2023 04:40,01-07-2023 04:53,13,4.22,Slightly Delayed,Traffic
7169557514,63230,21-03-2023 05:38,21-03-2023 05:50,12,3.28,Slightly Delayed,Traffic
2268306684,63230,28-05-2024 15:11,28-05-2024 15:10,-1,1.82,On Time,
6905293278,53868,16-06-2024 10:36,16-06-2024 11:02,26,0.58,Significantly Delayed,Traffic
1769493463,22954,26-06-2024 07:29,26-06-2024 07:24,-5,1.21,On Time,
5003387344,21004,23-06-2024 11:05,23-06-2024 11:00,-5,4.52,On Time,
2064484752,43022,07-05-2024 23:00,07-05-2024 22:55,-5,2.29,On Time,
964822979,42914,13-07-2024 10:49,13-07-2024 10:47,-2,1.09,On Time,
6037899648,59131,27-03-2024 18:00,27-03-2024 18:04,4,4.56,On Time,Traffic
9347571484,88612,02-11-2024 17:26,02-11-2024 17:39,13,3.29,Slightly Delayed,Traffic
3286177534,90038,25-06-2023 00:09,25-06-2023 00:07,-2,3.07,On Time,
9073572548,28575,02-05-2023 23:25,02-05-2023 23:47,22,4.77,Significantly Delayed,Traffic
8395583761,84816,04-08-2024 23:53,04-08-2024 23:48,-5,3.53,On Time,
6355378227,22954,11-08-2023 17:06,11-08-2023 17:05,-1,3.91,On Time,
277376321,22954,28-07-2024 04:45,28-07-2024 04:44,-1,3.85,On Time,
8559748526,22954,05-04-2023 18:27,05-04-2023 18:28,1,0.94,On Time,Traffic
1458051433,22954,26-04-2024 09:30,26-04-2024 09:26,-4,2.75,On Time,
5838302640,30907,12-05-2023 06:02,12-05-2023 06:09,7,1.7,Slightly Delayed,Traffic
1380971977,52614,02-06-2024 13:21,02-06-2024 13:16,-5,4.09,On Time,
1221099013,60689,23-07-2023 11:01,23-07-2023 11:03,2,3.15,On Time,Traffic
6771166303,98179,24-07-2023 04:36,24-07-2023 04:48,12,2.55,Slightly Delayed,Traffic
7111337755,84833,06-05-2023 06:07,06-05-2023 06:04,-3,3.44,On Time,
5562922993,73904,06-12-2023 02:14,06-12-2023 02:17,3,1.64,On Time,Traffic
5630957897,60689,18-06-2024 07:32,18-06-2024 07:36,4,3.92,On Time,Traffic
1787380558,60689,08-11-2023 17:43,08-11-2023 17:45,2,2.8,On Time,Traffic
32613017,60689,17-03-2023 00:36,17-03-2023 00:36,0,4,On Time,
2039041670,60689,01-11-2024 10:05,01-11-2024 10:20,15,2.12,Slightly Delayed,Traffic
210693801,60689,21-08-2024 04:10,21-08-2024 04:12,2,2.5,On Time,Traffic
8120002258,60689,01-01-2024 00:15,01-01-2024 00:11,-4,2.43,On Time,
